Student_ID,GPA,SAT_Score,ACT_Score,Family_Size,Income_Level,Marital_Status,Support_Center_Utilization,Retention_Rate,Graduation_Rate,Life_Event,Institution_Type,Graduation_Age,Major,Study_Hours_Per_Week,Student_Loan_Amount,Campus_Engagement,First_Gen_Student,Enrollment_Status,Distance_From_Home,Work_Hours_Per_Week
18,3.01,1147,25,2,High,Single,0.12,0.6,0.63,None,Public,23,Arts,11.5,12247.94,Low,TRUE,Full-Time,123.2,5.4
19,2.2,963,21,3,Low,Single,0.48,0.5,0.53,None,Private,22.5,Business,22.2,9365.08,High,FALSE,Full-Time,59.9,3.4
20,2.76,888,19,2,High,Divorced,0.41,0.87,0.84,Family Issues,Private,22.8,Arts,18.5,25893.05,Low,FALSE,Full-Time,73.7,6.4
21,3.76,1319,29,1,Low,Married,0.24,1,1,None,Private,23.4,Education,18.3,22201.87,Medium,TRUE,Full-Time,21.4,12.9
22,2.85,1066,23,1,Middle,Single,0.47,0.73,0.77,Family Issues,Private,22.2,Business,16.1,12508.13,Medium,FALSE,Full-Time,69,9.5
23,3.18,1110,24,5,Middle,Single,0.15,0.81,0.8,Family Issues,Private,22.7,STEM,14.4,12386.13,High,FALSE,Full-Time,44.6,16.1
24,2.24,886,19,3,Low,Married,0.35,0.53,0.5,Family Issues,Public,23,Health Sciences,18.7,40202.48,Low,FALSE,Full-Time,19.7,6.9
25,2.78,1018,22,2,Middle,Single,0,0.6,0.66,None,Public,22,Business,19.2,32803.25,Medium,FALSE,Full-Time,63.7,15.1
26,3.23,1116,25,2,Low,Married,0.27,0.95,0.96,Health Issues,Public,22.6,STEM,17.7,20193.05,Medium,FALSE,Full-Time,60.4,7.8
27,2.39,927,20,1,Middle,Single,0.18,0.79,0.84,None,Public,23.4,Education,14.5,28736.74,Medium,FALSE,Full-Time,47.5,4
28,2.81,1156,26,1,Low,Married,0,0.61,0.49,Family Issues,Private,22.3,Arts,6.5,16121.83,High,FALSE,Full-Time,34.6,10.3
29,2.01,1009,22,2,Middle,Single,0.58,0.5,0.5,None,Private,23,Education,13.1,20347.05,Low,FALSE,Part-Time,63.1,10.8
30,2.62,1056,23,2,Middle,Married,0.48,0.61,0.53,None,Public,22.4,STEM,13.9,30783.05,High,FALSE,Full-Time,68.1,0.7
31,2.77,1009,22,3,Low,Married,0.43,0.65,0.65,None,Public,23.4,Business,18.2,20859.34,Low,FALSE,Full-Time,39.7,14
32,3.73,1377,31,1,High,Single,0.12,1,1,None,Public,22,Business,23.7,8623.74,Medium,FALSE,Full-Time,84.4,11.9
33,2.9,1097,24,1,High,Single,0.22,0.59,0.68,Family Issues,Public,22.5,Health Sciences,8.3,13420.45,Low,FALSE,Full-Time,39.8,14
34,2.19,941,21,1,High,Single,0.43,0.59,0.55,Family Issues,Public,22,Business,12.7,22798.79,Medium,FALSE,Full-Time,20,9.5
35,2.47,1223,27,1,Middle,Married,0.49,0.69,0.66,None,Private,22.2,Arts,12,26374.3,Low,TRUE,Full-Time,68.7,12.2
36,2.14,916,20,1,High,Married,0.57,0.52,0.52,Family Issues,Public,22.1,STEM,10.7,34110.11,Medium,FALSE,Full-Time,45.1,12.7
37,2.74,1131,25,1,Middle,Single,0.26,0.77,0.72,None,Public,22.4,Education,17.6,10941.56,Low,TRUE,Full-Time,75.5,10.8
38,2,806,18,1,Low,Single,0.4,0.51,0.56,Health Issues,Public,22,STEM,18.3,24525.49,Medium,FALSE,Part-Time,0,4.3
39,2.44,900,20,1,Low,Married,0.38,0.73,0.73,None,Public,22.5,Health Sciences,14.7,10698.33,Medium,FALSE,Full-Time,34.8,7.8
40,3.42,1129,25,1,Middle,Single,0,0.7,0.71,Health Issues,Private,22.7,Education,18.6,9250.44,Low,TRUE,Full-Time,28.2,18.5
41,3.06,1210,27,2,Middle,Married,0,0.73,0.76,None,Private,22,Arts,28.7,22164.68,Medium,TRUE,Full-Time,73.1,12.1
42,2.75,1125,25,2,High,Single,0.19,0.68,0.68,None,Private,22.2,Education,18,8535.54,Low,FALSE,Part-Time,35.1,15.2
43,2.63,1082,24,1,High,Single,0.26,0.5,0.46,None,Public,23.8,Education,5.5,18470.74,High,FALSE,Full-Time,0,9.4
44,2.67,1054,23,2,Middle,Married,0.4,0.56,0.56,Family Issues,Public,22.7,Education,17.3,17339.98,Medium,FALSE,Full-Time,11.7,8.4
45,2,878,19,3,Low,Single,0,0.5,0.46,Family Issues,Public,22,Arts,17.5,12236.68,Medium,FALSE,Full-Time,1.5,4.4
46,2.52,992,22,1,Middle,Single,0.48,0.72,0.73,None,Public,22,Health Sciences,11,27713.65,High,FALSE,Full-Time,61.6,4.8
47,2.71,1030,23,4,Middle,Married,0.44,0.61,0.66,None,Public,22.6,Business,16.3,16276.28,Low,FALSE,Full-Time,51.8,11
48,3.21,1258,28,1,Low,Single,0,0.72,0.66,Health Issues,Public,22.6,Arts,18.2,16826.39,Low,TRUE,Full-Time,32.4,14.8
49,3.02,1151,25,1,Middle,Single,0.16,0.84,0.76,Family Issues,Private,22.2,Health Sciences,15.4,11412.91,Medium,FALSE,Part-Time,31.1,6.6
50,2.22,835,18,1,Low,Single,0,0.5,0.5,Family Issues,Public,23.6,Business,21.4,41870.4,High,FALSE,Full-Time,0,5.3
51,2.34,1148,25,1,Middle,Single,0.54,0.5,0.46,Family Issues,Public,23.8,Education,16.7,13431.3,Medium,FALSE,Part-Time,75.3,11.4
52,2.8,1042,23,2,Middle,Single,0.45,0.66,0.66,None,Private,22.4,Business,15,13787.97,Low,FALSE,Full-Time,61,6.5
53,2.29,998,22,1,Low,Single,0.4,0.5,0.52,None,Public,22.9,Business,7.9,23367.23,High,FALSE,Full-Time,73.1,8.7
54,2.65,1191,26,3,Middle,Single,0.25,0.52,0.41,Health Issues,Public,23,Business,7.8,21976.63,Low,FALSE,Full-Time,39.4,3.7
55,2.81,1254,28,3,Low,Married,0.6,0.76,0.79,None,Public,23,STEM,9.4,10627.15,High,TRUE,Full-Time,66.7,6.5
56,3.23,1239,27,2,Low,Single,0.27,0.89,0.84,Family Issues,Public,22.2,Health Sciences,18.5,0,High,FALSE,Full-Time,55.1,20
57,2.37,974,21,2,Low,Single,1,0.67,0.67,None,Public,23.5,Business,12.9,26037.44,Medium,TRUE,Full-Time,97.2,14.4
58,2.13,1053,23,2,Low,Single,0.83,0.64,0.61,None,Public,22.5,STEM,9.8,11240.17,Low,FALSE,Part-Time,60.6,9.5
59,3.02,1149,25,1,High,Single,0.23,0.88,0.85,Family Issues,Public,22.7,Arts,14.4,25188.81,Low,FALSE,Full-Time,36.8,7.5
60,2.68,1246,28,1,Middle,Married,0.03,0.5,0.58,None,Public,22.5,STEM,14.6,20158.38,Medium,TRUE,Full-Time,35.7,15.9
61,2.61,1028,23,1,Low,Single,0.49,0.7,0.71,Family Issues,Private,22.4,Arts,11.1,23035.9,Low,TRUE,Full-Time,57.7,2.9
62,2.75,1072,24,1,High,Single,0.35,0.64,0.68,Family Issues,Private,22.6,Arts,16.4,17735.13,Medium,FALSE,Full-Time,32.2,19.4
63,2.6,934,21,1,Middle,Married,0.29,0.58,0.58,None,Public,22,STEM,23.2,27198.42,Low,TRUE,Full-Time,9.1,13.7
64,2.84,920,20,2,Low,Married,0.12,0.77,0.8,None,Public,22,Health Sciences,10,6277.01,Low,FALSE,Part-Time,22.3,11.2
65,2.65,1221,27,2,Middle,Single,0.16,0.5,0.52,Health Issues,Public,22.4,Arts,17.1,13884.96,Medium,FALSE,Full-Time,35.6,4.5
66,3.24,1303,29,1,Middle,Single,0.22,0.64,0.65,Family Issues,Public,22.1,STEM,9,5770.4,Medium,FALSE,Part-Time,82.8,11
67,2.64,1089,24,1,Middle,Single,0.27,0.72,0.78,None,Private,22.8,Education,21.9,11495.4,Medium,FALSE,Part-Time,22,12.5
68,3.26,1250,28,1,Middle,Single,0.58,0.86,0.87,Health Issues,Public,22.7,Business,9.3,9576.91,Low,FALSE,Full-Time,44.6,13.6
69,2.95,1154,25,1,Low,Single,0.59,0.75,0.87,Health Issues,Public,22.5,Education,5.7,23336.78,High,FALSE,Full-Time,45,12.2
70,2.4,1003,22,2,High,Single,0.53,0.51,0.56,None,Public,23.2,Arts,16.8,0,Low,TRUE,Full-Time,43.2,4.3
71,2.75,1154,25,1,Low,Married,0.61,0.76,0.71,None,Private,22.5,STEM,10.2,22670.65,Low,FALSE,Full-Time,104.5,10.7
72,2.99,1330,29,1,Middle,Single,0.35,0.82,0.81,Family Issues,Public,22,STEM,25.6,34790.01,Low,FALSE,Full-Time,60.6,2.6
73,3.03,1094,24,1,High,Single,0.1,0.77,0.79,Family Issues,Private,22.4,Arts,8.8,27518,Low,FALSE,Full-Time,0,7.1
74,3.47,1334,30,1,Low,Single,0.02,0.75,0.75,None,Private,23.1,Arts,7.3,7730.68,Low,FALSE,Full-Time,0,9.2
75,2.28,800,18,1,Middle,Married,0.45,0.53,0.56,None,Public,22,STEM,15.9,24611.4,High,FALSE,Full-Time,64.4,8.1
76,2.97,1223,27,1,High,Married,0.06,0.83,0.86,Financial Problems,Public,22.5,STEM,3.8,30268.61,High,FALSE,Full-Time,8.4,6.1
77,2.59,1113,25,2,High,Single,0.67,0.78,0.71,None,Public,22.8,STEM,7.4,17649.66,Medium,TRUE,Part-Time,65.7,8.4
78,2.31,1055,23,1,Middle,Single,0.6,0.55,0.61,Family Issues,Public,23.8,STEM,9.9,33893.86,Low,FALSE,Full-Time,57.3,12.9
79,2.89,1113,25,3,Middle,Divorced,0.14,0.7,0.67,None,Public,23.1,Arts,9.6,21866.63,Low,TRUE,Full-Time,45.3,5.9
80,2,801,18,2,Middle,Married,0.6,0.5,0.47,None,Private,22.6,STEM,11.6,26941.2,High,FALSE,Part-Time,32.6,15.6
81,3.22,1067,24,1,Middle,Single,0,0.83,0.8,None,Public,22.8,STEM,11.6,13879.28,Low,FALSE,Full-Time,56.6,15.4
82,2.49,1153,25,1,Middle,Single,0,0.56,0.61,None,Public,22,Arts,10.4,23322.47,Low,FALSE,Full-Time,29.1,11.9
83,3.39,1321,29,1,Low,Single,0,0.56,0.54,None,Public,22,Business,19.4,17053.66,Low,FALSE,Full-Time,36.2,8.1
84,3.03,1022,23,1,High,Single,0.32,0.88,0.84,Family Issues,Private,22.8,Education,14.4,20807.72,High,FALSE,Full-Time,27.4,2.5
85,2.63,978,22,1,Low,Single,0.38,0.84,0.81,None,Public,22.6,Arts,15.1,25056.34,Low,FALSE,Full-Time,69.9,0
86,2.61,1024,23,2,Low,Single,0.08,0.59,0.5,None,Public,22.6,STEM,14.7,11442.13,Medium,FALSE,Full-Time,50.3,8.6
87,2.8,1237,27,1,Middle,Single,0.25,0.59,0.55,None,Public,22.5,Business,14.5,19566.44,High,FALSE,Full-Time,49.3,15.3
88,2.46,1149,25,4,Low,Single,0.56,0.6,0.54,None,Public,22.5,STEM,15.5,40435.67,Low,FALSE,Full-Time,71.3,7.9
89,2.78,1020,22,5,Low,Single,0.54,0.68,0.66,None,Public,22.6,STEM,17.6,30434.86,Low,FALSE,Full-Time,2.1,13.8
90,3.39,1176,26,2,Low,Single,0.21,0.95,0.98,None,Public,22,STEM,20.5,25151.19,Low,FALSE,Part-Time,17.3,16.4
91,2.65,1114,25,3,Low,Married,0.43,0.67,0.7,Health Issues,Private,22.4,Business,20,21595.48,Medium,FALSE,Full-Time,23.8,14.3
92,2.77,1245,28,1,Low,Single,0.22,0.61,0.68,Health Issues,Public,22,STEM,27.7,29550.22,Low,FALSE,Part-Time,53.7,14
93,2,994,22,2,Middle,Single,0.55,0.5,0.55,None,Public,22.2,STEM,11,14855.43,Medium,FALSE,Full-Time,4.2,2.2
94,2.33,1050,23,1,Middle,Single,0.32,0.67,0.64,Health Issues,Private,23.1,Education,11.6,26870.7,Low,TRUE,Full-Time,37.6,14.2
95,2.57,1041,23,5,High,Married,0.37,0.7,0.7,Family Issues,Public,22.4,Education,18.9,9520.36,Medium,FALSE,Part-Time,90.3,14.6
96,2.68,880,19,2,Low,Married,0.15,0.78,0.77,Family Issues,Private,22.8,STEM,10.5,13639.21,Medium,FALSE,Full-Time,28,6
97,3.06,1144,25,1,Low,Single,0.43,0.67,0.56,Family Issues,Public,22.6,STEM,15.2,16562.95,Low,FALSE,Full-Time,36.8,11.7
98,2.94,1139,25,3,Middle,Single,0.29,0.92,0.86,None,Public,22.3,Health Sciences,26.5,34681.26,Medium,FALSE,Full-Time,101.8,8.4
99,2.63,1100,24,1,Low,Single,0.08,0.5,0.49,None,Public,22,STEM,23.9,34333.85,Low,FALSE,Full-Time,8.6,6.4
100,2.49,1064,23,1,Low,Single,0.45,0.69,0.68,Family Issues,Public,22.3,Business,10.5,23365.48,Medium,FALSE,Full-Time,2.1,4.5
101,2.64,887,19,4,High,Single,0,0.5,0.53,None,Public,22.6,Business,8.4,15433.44,Low,FALSE,Full-Time,38.5,13.1
102,2.65,1036,23,1,Middle,Single,0.56,0.58,0.61,Family Issues,Public,22.8,Health Sciences,4.8,15653.15,Low,FALSE,Full-Time,59.6,3
103,2,1048,23,2,Low,Single,0.22,0.66,0.57,None,Private,22.6,STEM,15.1,31591.23,Low,FALSE,Full-Time,43.6,19.7
104,2.25,979,22,1,Middle,Married,0.39,0.64,0.67,Family Issues,Public,22.8,Education,12.9,19801.95,Low,FALSE,Part-Time,109.7,6.7
105,2.43,1075,24,1,Low,Married,0.21,0.55,0.56,None,Public,22,Business,14.5,26088.66,High,TRUE,Full-Time,45,11.6
106,2.74,1160,26,3,Low,Single,0.43,0.63,0.66,None,Public,22.9,Education,13.5,24750.83,Low,TRUE,Full-Time,18.9,4.9
107,3.63,1382,31,4,Low,Divorced,0.35,0.92,0.97,Health Issues,Private,22,Arts,13.2,40860.31,Low,TRUE,Full-Time,38.4,8.6
108,2.78,1126,25,1,Low,Single,0.24,0.75,0.74,None,Public,23,Education,12.7,13898.42,High,FALSE,Full-Time,0,9.6
109,2.82,1138,25,1,Middle,Single,0.55,0.83,0.89,None,Private,22.8,STEM,15.3,22600.98,Low,TRUE,Part-Time,49.1,9.7
110,3.12,1088,24,2,Middle,Single,0.21,0.73,0.69,Health Issues,Public,22,Business,20.9,10009.58,Medium,TRUE,Full-Time,51.2,6.4
111,2,812,18,2,Middle,Single,0.53,0.5,0.45,Health Issues,Public,22.9,STEM,3,17736.58,High,TRUE,Full-Time,76.1,14.5
112,3.3,1096,24,2,High,Single,0,0.84,0.86,Health Issues,Private,23,STEM,13.3,22945.69,Low,FALSE,Part-Time,33.3,9.5
113,2.57,1109,24,3,Low,Married,0.16,0.6,0.58,None,Public,23.1,Arts,9.7,26736.52,Medium,TRUE,Full-Time,15.4,6
114,3.7,1469,33,3,Middle,Single,0.1,0.8,0.81,Financial Problems,Public,22.1,Arts,17.6,9027.19,Low,FALSE,Full-Time,62,11.7
115,2.59,1071,24,2,Middle,Single,0.59,0.68,0.78,Family Issues,Public,22.6,STEM,12.9,25710.18,Low,TRUE,Full-Time,49.3,12.6
116,2.9,1145,25,1,Middle,Married,0.4,0.7,0.72,None,Public,22.8,Education,20.8,10168.89,High,FALSE,Full-Time,73.5,13.2
117,2.87,1094,24,1,Middle,Married,0.49,0.75,0.76,None,Private,22.9,STEM,20,15996.76,High,TRUE,Full-Time,2.6,13
118,2.44,924,20,2,Low,Single,0.38,0.52,0.48,None,Public,22.7,Business,10.7,23965.14,Low,FALSE,Full-Time,0,8.8
119,2.95,1271,28,4,Middle,Married,0.13,0.79,0.7,None,Public,22.3,Health Sciences,16.4,3963.73,Low,TRUE,Full-Time,16.4,13.5
120,2.7,1212,27,2,Low,Single,0.45,0.54,0.54,Health Issues,Public,23,STEM,20.7,16080.58,Medium,FALSE,Full-Time,23.7,5.1
121,3.8,1218,27,2,Low,Married,0.13,0.87,0.92,None,Public,23,STEM,13.4,23587.42,Low,TRUE,Full-Time,63.7,5.7
122,2.26,963,21,3,High,Married,0,0.54,0.53,Family Issues,Private,22.4,STEM,14.9,18386.26,High,FALSE,Full-Time,10.4,15.2
123,3.49,1310,29,1,Middle,Single,0.25,1,1,None,Private,22.1,Health Sciences,11.7,18370.14,Medium,FALSE,Part-Time,64.8,12.9
124,2,889,20,1,Low,Single,0.26,0.58,0.65,Health Issues,Public,22.1,STEM,13.8,29641.96,Low,FALSE,Full-Time,0.3,8.9
125,2.89,1188,26,1,High,Single,0.35,0.83,0.9,None,Public,23.2,Arts,16.5,9937.19,Low,FALSE,Full-Time,50.6,4.2
126,3.53,1428,32,6,Middle,Single,0,1,1,None,Public,23,Education,17.9,8936.75,Medium,TRUE,Full-Time,108.9,11.3
127,2.52,951,21,4,Middle,Single,0.19,0.99,1,Health Issues,Public,22.5,Health Sciences,18.8,9698.06,High,TRUE,Full-Time,98,8.9
128,2,1015,22,2,Low,Married,0.43,0.5,0.43,Health Issues,Private,22.4,Business,14.6,29083.62,Medium,TRUE,Full-Time,101.7,9.1
129,2.84,1114,25,1,Low,Single,0.25,0.85,0.82,Family Issues,Private,22,Business,10.9,15354.14,Low,FALSE,Part-Time,32.6,9.9
130,2.22,1024,23,2,Middle,Single,0.14,0.66,0.64,None,Private,22.5,Education,13.1,30736.48,Medium,TRUE,Part-Time,103.3,5.3
131,2.27,867,19,1,Middle,Divorced,0.51,0.67,0.62,Family Issues,Public,22,STEM,21,27300.65,Low,TRUE,Full-Time,68.1,12.2
132,2.46,1110,24,2,Low,Single,0.29,0.79,0.81,None,Public,22.6,Business,22.1,27302.85,Medium,TRUE,Full-Time,60.7,10.9
133,2.09,940,21,2,Low,Single,0.38,0.5,0.6,Health Issues,Public,23.1,Arts,14.3,13601.71,Low,TRUE,Part-Time,20.5,8.8
134,2.85,1171,26,1,Middle,Married,0.18,0.66,0.74,None,Public,22,Education,16.4,14087.17,Low,TRUE,Full-Time,17.2,6.5
135,2.09,962,21,1,Middle,Single,0.51,0.55,0.57,None,Public,22.6,STEM,15.5,45978.82,Medium,FALSE,Full-Time,13.4,20.3
136,3.19,1332,29,2,High,Divorced,0.53,0.78,0.82,Health Issues,Private,23,Health Sciences,15.3,32755.75,Medium,FALSE,Full-Time,34.7,7.5
137,2.1,982,22,2,Middle,Married,0.17,0.56,0.52,Health Issues,Public,22.6,Education,3.6,36850.36,Medium,FALSE,Full-Time,49.7,2.5
138,2.08,1051,23,1,Low,Married,0.34,0.68,0.75,Health Issues,Public,22.2,Business,9,2165.94,High,TRUE,Full-Time,66,16.9
139,3.36,1222,27,3,High,Single,0.48,0.79,0.71,None,Public,22.5,Business,18.6,19142.19,Low,FALSE,Part-Time,75,16.5
140,2,915,20,3,Middle,Single,0.56,0.5,0.55,None,Private,23,Business,15.9,29674.66,High,TRUE,Full-Time,1.2,5.5
141,2.78,1134,25,3,Low,Single,0.11,0.71,0.74,None,Public,22.6,Health Sciences,20.1,30403.34,High,FALSE,Full-Time,28.9,17.4
142,3.47,1296,29,2,Middle,Single,0.44,0.84,0.81,Health Issues,Public,22.5,Arts,14.3,30465.34,Medium,FALSE,Full-Time,83.4,18.9
143,2,858,19,1,Low,Single,0.37,0.5,0.49,Family Issues,Public,23.1,STEM,8.9,26792.4,Medium,FALSE,Full-Time,35.8,8.2
144,2.57,1127,25,4,Low,Married,0.32,0.58,0.53,None,Public,22.8,Education,14.3,24237.09,Low,FALSE,Part-Time,49.5,8.4
145,2.92,1138,25,1,Low,Single,0.35,0.8,0.74,None,Public,22,Education,20,25336.01,Low,FALSE,Full-Time,27,18.1
146,3.38,1217,27,1,Low,Single,0.23,0.99,0.91,Health Issues,Private,22.8,Education,16.3,28026.23,Medium,FALSE,Full-Time,77.7,15
147,2,914,20,2,Middle,Single,0.19,0.5,0.54,None,Public,23,STEM,6.8,17151.01,Low,TRUE,Part-Time,33.6,15.1
148,2.21,901,20,1,Low,Married,0.64,0.5,0.56,None,Public,22,STEM,10.1,32882.87,High,FALSE,Full-Time,75.8,18
149,2.43,1178,26,4,Low,Single,0.69,0.61,0.5,None,Private,22,Business,11.7,29715.56,Low,TRUE,Full-Time,83.1,6.6
150,2.74,1144,25,2,Middle,Married,0.17,0.5,0.59,None,Public,22,STEM,7.7,19947.11,Low,TRUE,Full-Time,0,4.5
151,2.85,1137,25,1,Middle,Married,0,0.67,0.67,None,Private,22.5,Business,12.8,21347.88,High,FALSE,Full-Time,89.1,12.3
152,2.62,1151,25,5,Low,Single,0.48,0.5,0.51,None,Private,23,Business,19.5,18004.85,Low,FALSE,Part-Time,78.6,5.3
153,2.36,997,22,2,High,Married,0.59,0.73,0.65,Family Issues,Public,22.1,STEM,9.9,11087.93,Medium,TRUE,Full-Time,94.9,14.1
154,2.41,1134,25,2,Middle,Single,0.36,0.53,0.59,None,Public,22.8,Arts,19.1,24348.37,Medium,FALSE,Part-Time,23.5,16.9
155,2.88,1143,25,1,Middle,Single,0.48,0.89,0.9,Family Issues,Public,22,Business,17.4,35982.02,Low,FALSE,Full-Time,54.1,9.8
156,2.8,992,22,3,Low,Married,0.31,0.81,0.87,Family Issues,Public,22.6,STEM,12.5,14203.27,High,TRUE,Part-Time,47.9,10.2
157,3.12,1379,31,1,Low,Single,0.45,0.72,0.78,Family Issues,Public,22.3,Health Sciences,16.7,29425.92,Low,TRUE,Part-Time,34.1,10.2
158,2.74,1171,26,1,Low,Single,0.77,0.58,0.64,Health Issues,Public,23.6,Arts,12.7,31073.42,High,FALSE,Part-Time,95,10.2
159,2.45,921,20,2,Low,Single,0.19,0.59,0.56,Health Issues,Public,22,STEM,17.9,24406.45,Medium,TRUE,Full-Time,74.8,0.6
160,3.36,1198,26,4,Low,Married,0.13,0.83,0.82,Family Issues,Public,22.5,Health Sciences,25.9,14537.53,Low,FALSE,Full-Time,66.3,5.5
161,2,953,21,1,Low,Single,0.6,0.53,0.5,Health Issues,Public,22,Business,25,23021.36,Low,FALSE,Full-Time,39.1,9.4
162,2.99,1218,27,1,Middle,Married,0.54,0.67,0.72,None,Public,22.2,STEM,3.9,8807.52,Medium,TRUE,Full-Time,114.5,22.9
163,3.27,1273,28,3,Low,Married,0,0.89,0.91,Health Issues,Public,22,STEM,13.2,10769.95,Medium,FALSE,Part-Time,32.7,18.2
164,2.41,976,21,3,High,Married,0.07,0.63,0.68,None,Public,23.7,Education,12.4,27360.21,Medium,FALSE,Part-Time,40.6,11.6
165,2.37,1244,28,2,Low,Single,0.32,0.56,0.61,None,Private,22.3,Health Sciences,18.2,24358.64,High,FALSE,Part-Time,27,15.6
166,3.06,1161,26,3,Middle,Single,0.11,0.69,0.61,Health Issues,Public,22.4,STEM,20,7756.01,Low,FALSE,Full-Time,0,1.6
167,3.51,1223,27,1,Middle,Single,0.25,0.86,0.93,None,Private,22.5,Business,18.6,4166.55,Medium,FALSE,Full-Time,54.6,13.1
168,3.5,1384,31,1,Middle,Single,0.23,0.79,0.84,None,Public,22,STEM,17.1,34987.23,Low,FALSE,Full-Time,66.8,6.7
169,2.35,1063,23,2,Low,Single,0.35,0.59,0.57,None,Public,23,Arts,10.1,22078.56,Medium,TRUE,Part-Time,59.2,9.4
170,2.31,986,22,1,Middle,Single,0.16,0.59,0.6,None,Private,22.8,Health Sciences,21.7,15997.65,Medium,FALSE,Full-Time,84,9.1
171,2.95,966,21,1,Low,Divorced,0,0.76,0.76,Financial Problems,Private,23,STEM,12.5,15197.73,Medium,TRUE,Full-Time,0,8.9
172,2.72,977,21,1,Low,Single,0.24,0.86,0.89,Health Issues,Public,22,STEM,7.7,25811.32,Medium,FALSE,Full-Time,76.1,6.5
173,2.91,1088,24,1,Middle,Single,0.32,0.72,0.7,Health Issues,Public,23.1,STEM,6.3,21517.16,High,FALSE,Full-Time,74,4.5
174,2.98,1151,25,3,Middle,Single,0.15,0.85,0.87,None,Public,23,STEM,13.6,21015.25,High,FALSE,Full-Time,65.7,5
175,2.66,1141,25,2,Middle,Single,0.24,0.69,0.69,None,Public,22.4,STEM,20.2,0,Medium,FALSE,Full-Time,46.1,15.9
176,3,1224,27,2,Middle,Single,0.29,0.73,0.7,Family Issues,Public,22.9,Arts,9.9,36110.06,Low,FALSE,Full-Time,78,4.1
177,2.73,1101,24,1,Low,Single,0.3,0.67,0.68,None,Public,22.6,STEM,18.2,33644.43,Medium,FALSE,Full-Time,84.5,10.8
178,3.46,1318,29,2,Low,Single,0.09,0.86,0.99,None,Private,22,Education,11.4,22300.07,High,TRUE,Full-Time,79.2,4.3
179,3.1,1060,23,4,Middle,Single,0.6,0.8,0.77,None,Private,22.4,STEM,12.1,31105,Low,FALSE,Full-Time,41.4,2.8
180,4,1508,33,2,Middle,Single,0.41,0.9,0.89,None,Private,22.3,STEM,7.5,40155.44,Low,FALSE,Full-Time,89.5,7
181,2.56,1193,26,3,Middle,Married,0.68,0.5,0.47,None,Public,22.5,Business,19,16403.79,Medium,FALSE,Full-Time,44.6,13.2
